place_id,name,rating,user_ratings_total,latitude,longitude,address,types
ChIJfQy0H_tYwokRUHtQgXxEsPY,Gregorys Coffee,4.0,310,40.7609895,-73.973019,"551 Madison Ave, New York, NY 10022",['Coffee shop']
ChIJ97BgiDtfwokRsbkP6Vl1seY,New York City Bagel & Coffee House,4.4,712,40.7589444,-73.9185819,"40-05 Broadway, Astoria, NY 11103","['Bagel shop', 'Breakfast restaurant', 'Coffee shop', 'Espresso bar', 'Gluten-free restaurant', 'Sandwich shop']"
ChIJbSf_R5hZwokRsiFxyNhkkHo,Joe Coffee Company: 13th Street,4.2,252,40.7351714,-73.9932621,"9 E 13th St, New York, NY 10003","['Coffee shop', 'Catering food and drink supplier', 'Caterer', 'Coffee machine supplier', 'Coffee store', 'Coffee wholesaler', 'Coffin supplier', 'Mobile caterer']"
ChIJ5fQIH4VYwokRrlU4_6lUNGg,Joe Coffee Company: W 85th St,4.4,444,40.7857679,-73.9729782,"514 Columbus Ave, New York, NY 10024","['Coffee shop', 'Catering food and drink supplier', 'Caterer', 'Coffee machine supplier', 'Coffee store', 'Coffee wholesaler', 'Coffin supplier', 'Mobile caterer']"
ChIJ61t86tdZwokReFEp9XveXEQ,Inès,4.6,131,40.764691,-73.9797131,"155 W 56th St, New York, NY 10019",['Coffee shop']
ChIJtyw2PcJYwokRd030F8519lI,Gregorys Coffee,4.2,405,40.7656673,-73.9578262,"1273 1st Ave, New York, NY 10065",['Coffee shop']
ChIJwzJiMKxZwokR_M9bYRui2a4,Madman Espresso,4.4,450,40.7521333,-73.991525,"234 W 35th St, New York, NY 10001",['Coffee shop']
ChIJ16NCtlNYwokRY7BNbgW1m1o,Gregorys Coffee,4.0,245,40.7598266,-73.9913771,"630 9th Ave, New York, NY 10036",['Coffee shop']
ChIJVbMRX7tYwokRmAX0nAO_7UE,WFM Coffee Bar,4.0,5,40.7796707,-73.9529499,"1551 3rd Ave, New York, NY 10128","['Coffee shop', 'Cafe', 'Coffee store', 'Juice shop']"
ChIJhUlV15hZwokR9b9PY28zvf0,Le Cafe Coffee,4.3,160,40.7339026,-73.9895329,"145 4th Ave, New York, NY 10003",['Coffee shop']
ChIJSXBFqNZbwokRsMMe9VmWvDo,Créme,4.6,121,40.7158312,-73.9897961,"27 1/2 Essex St, New York, NY 10002","['Coffee shop', 'Ice cream shop']"
ChIJs_ON7LlZwokRmKAaVhqevLo,Joe Coffee Company: Chelsea,4.3,296,40.746821,-74.0014743,"405 W 23 St, New York, NY 10011","['Coffee shop', 'Catering food and drink supplier', 'Caterer', 'Coffee machine supplier', 'Coffee store', 'Coffee wholesaler', 'Coffin supplier', 'Mobile caterer']"
